Company,Employees,Role,Location,StartingSalary,MinimumQualification,BachelorsDegree,BachelorsGrade,SQL,R,Python,Tableu,PowerBI,Excel,,,
GreySpark Partners,52,Data Analyst,London,,Bachelors,STEM,,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,,,
SCOR,"4,006",Data Analyst Graduate Trainee,London,,Bachelors,Any,2:1,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,,
JLL,"80,279",Data Analyst,London,,None,,,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,,,
Centrica,"18,308",Data Analyst,Leicester,"30,512.00",None,,,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,,,
Beavertown Brewery,194,Data Analyst,UK,,Bachelors,STEM,,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,,,
Aurora Energy Research,477,Product Data Analyst Software Solutions,Oxford,,Bachelors,STEM,2:1,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,,,
Munich RE,"18,848",Compliance Data Analyst,London,,Bachelors,STEM,,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,,,
Kroo Bank,222,Financial Crime Data Analyst,London,,None,,,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,,,
Binance,"9,579",Junior Data Analyst,London,,Bachelors,STEM,,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,,,
Acolyte Group,103,Data Analyst,London,"55,000.00",Bachelors,,,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,,,
Urban Jungle,90,Junior Data Analyst,London,"34,000.00",,,,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,,,
Peckwater Brands,91,Data Science Internship,London,,Bachelors,,,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,,,
Bluetownonline Ltd,43,Data Analyst,Manchester,"35,392.00",Bachelors,STEM,,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,,,
InGame Recruitment,,Data Analyst,,"40,000.00",,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,
Techruiter,,Data Analyst,,"34,000.00",,,,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,,,
Eversana,"4,307",Tender Data Analyst,London,,Bachelors,STEM,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,
Account Media Limited,171,Data Analyst / Marketing,London,"27,000.00",Bachelors,,,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,,
IRIS Software Group,"2,050",Data Analyst,Slough,,Bachelors,STEM,,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,,,
Paypal,"30,526",Data Analyst Intern,London,,Bachelors,STEM,2:1,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,,,
TLP Consultancy Ltd,22,Data Analyst,Epsom,"40,000.00",,,,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,,,
Tapestry Research,30,Junior Data Analyst,London,"23,000.00",Bachelors,STEM,,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,,,
Bumble,"1,661",Junior Data Analyst,London,,Bachelors,STEM,,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,,,
Modo Energy,34,Junior Data Analyst,London,,Bachelors,STEM,,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,,,
Sea,182,Junior Data Analyst,London,,Bachelors,STEM,,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,,,
BlackRock,"26,770","Analyst Programme - Analytics & Risk 
- Risk & Quantitative Analysis",London,,Bachelors,STEM,,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,,,
Jarmany,68,Graduate Technical Data Analysts,London,"25,000.00",Bachelors,STEM,2:1,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,,
KEYENCE,"5,735",Marketing Analyst,London,"28,000.00",Bachelors,,,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,,,
Sky,"34,155",Business Analyst Graduate Programme,London,"32,000.00",Bachelors,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
FTI Consulting,"9,015","2024 Graduate Scheme | Data & Analytics,
 Forensic & Litigation Consulting",London,,Bachelors,STEM,,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,,,
Halo Service Solutions,119,Graduate Business Analyst,Ipswich,"30,000.00",Bachelors,,2:1,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,,
Barclays,"71,377","Retail Banking Data and Analytics 
Graduate Programme",London,"32,000.00",Bachelors,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
Qualient Solutions,26,Junior Data Analyst,London,"30,000.00",,,,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,,
SportPursuit,96,Graduate Data and Marketing Analyst,London,"25,000.00",Bachelors,STEM,,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,,,
e.surv,596,Graduate Data Analyst,Kettering,"29,000.00",Bachelors,,,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,,,
Easyship,191,Graduate AI Analyst,London,,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,,
